timestamp,enmo
2025-10-29T00:00:00,0.019584
2025-10-29T00:01:00,0.026943
2025-10-29T00:02:00,0.013855
2025-10-29T00:03:00,0.001931
2025-10-29T00:04:00,0.004868
2025-10-29T00:05:00,0.008959
2025-10-29T00:06:00,0.018079
2025-10-29T00:07:00,0.014763
2025-10-29T00:08:00,0.014572
2025-10-29T00:09:00,0.016667
2025-10-29T00:10:00,0.014414
2025-10-29T00:11:00,0.011105
2025-10-29T00:12:00,0.0089
2025-10-29T00:13:00,0.005897
2025-10-29T00:14:00,0.012476
2025-10-29T00:15:00,0.016908
2025-10-29T00:16:00,0.007033
2025-10-29T00:17:00,0.0
2025-10-29T00:18:00,0.001261
2025-10-29T00:19:00,0.00848
2025-10-29T00:20:00,0.022577
2025-10-29T00:21:00,0.016619
2025-10-29T00:22:00,0.014118
2025-10-29T00:23:00,0.023641
2025-10-29T00:24:00,1e-06
2025-10-29T00:25:00,0.004305
2025-10-29T00:26:00,0.013376
2025-10-29T00:27:00,0.009281
2025-10-29T00:28:00,0.023468
2025-10-29T00:29:00,0.013339
2025-10-29T00:30:00,0.011247
2025-10-29T00:31:00,0.008218
2025-10-29T00:32:00,0.003339
2025-10-29T00:33:00,0.029268
2025-10-29T00:34:00,0.010208
2025-10-29T00:35:00,0.002513
2025-10-29T00:36:00,0.025441
2025-10-29T00:37:00,0.024854
2025-10-29T00:38:00,0.0
2025-10-29T00:39:00,0.014128
2025-10-29T00:40:00,0.027048
2025-10-29T00:41:00,0.007854
2025-10-29T00:42:00,0.021212
2025-10-29T00:43:00,0.014635
2025-10-29T00:44:00,0.006356
2025-10-29T00:45:00,0.016103
2025-10-29T00:46:00,0.016265
2025-10-29T00:47:00,0.015263
2025-10-29T00:48:00,0.001472
2025-10-29T00:49:00,0.013399
2025-10-29T00:50:00,0.008919
2025-10-29T00:51:00,0.019876
2025-10-29T00:52:00,0.005671
2025-10-29T00:53:00,0.020339
2025-10-29T00:54:00,0.005223
2025-10-29T00:55:00,0.006719
2025-10-29T00:56:00,0.018352
2025-10-29T00:57:00,0.011208
2025-10-29T00:58:00,0.011165
2025-10-29T00:59:00,0.009298
2025-10-29T01:00:00,0.015871
2025-10-29T01:01:00,0.022504
2025-10-29T01:02:00,0.0
2025-10-29T01:03:00,0.014409
2025-10-29T01:04:00,0.022432
2025-10-29T01:05:00,0.007598
2025-10-29T01:06:00,0.027001
2025-10-29T01:07:00,0.015826
2025-10-29T01:08:00,0.001558
